Timestamp,"I have at times changed opinions that were important to me, when someone showed me I was wrong.",I am willing to change my position on an important issue in the face of good reasons.,I am open to revising my important beliefs in the face of new information.,I am willing to change my opinions on the basis of compelling reason.,I’m willing to change my mind once it’s made up about an important topic.,Scientists ignore evidence that contradicts their work.,Scientific theories are weak explanations.,Scientists intentionally keep their work secret.,Scientists don't value the ideas of others.,Scientists don't care if laypersons understand their work.,We should trust the work of scientists.,We should trust that scientists are being honest in their work.,We should trust that scientists are being ethical in their work.,People who understand science more have more trust in science.,We can trust science to find the answers that explain the natural world.,We cannot trust scientists because they are biased in their perspectives.,Scientists will protect each other even when they are wrong.,We cannot trust scientists to consider ideas that contradict their own.,Today's scientists will sacrifice the well being of others to advance their research.,We cannot trust science because it moves too slowly.,When scientists change their mind about a scientific idea it diminishes my trust in their work.,We can trust scientists to share their discoveries even if they don't like their findings.,I trust that the work of scientists is to make life better for people.,Scientific theories are trustworthy.,When scientists form a hypothesis they are just guessing.,I trust scientists can find solutions to our major technological problems.,"If you wish to comment about the questions in this survey, you may do so here. You are not required to comment. Your comments might be seen by others."
8/17/2023 9:10:28,5,5,5,5,5,2,1,2,1,2,4,4,4,4,5,2,2,1,2,1,,,,,,,
8/21/2023 17:29:47,5,4,4,5,4,4,3,4,4,3,4,4,4,4,4,4,4,4,4,4,3,4,3,4,4,4,
8/21/2023 17:29:58,4,4,4,4,2,4,1,2,1,4,4,4,5,2,4,3,1,4,2,1,1,5,4,4,4,4,
8/21/2023 17:31:52,4,5,4,5,5,3,1,2,2,3,5,4,4,5,5,1,2,2,1,1,2,4,4,5,2,5,
8/21/2023 19:09:56,3,4,3,4,2,2,1,2,2,3,2,4,4,4,4,3,1,2,3,2,1,2,2,4,2,5,For some of them I put 3 because they are very contextual and it felt wrong to ascribe a quality to the group when I feel only a few outliers would fit the criteria for the question
8/23/2023 16:52:23,4,4,4,4,3,5,2,4,3,5,3,3,3,2,4,2,2,2,2,2,4,2,4,3,4,4,The more that people are not in agreement over a topic the more testing that both sides will perform. Which could ultimately give the real solution 
8/24/2023 0:17:47,4,4,4,3,3,3,3,2,2,3,4,3,4,4,3,2,2,2,2,1,2,2,4,4,2,3,
8/25/2023 13:23:34,4,4,5,4,5,1,1,1,1,3,3,4,4,2,5,1,1,1,1,1,1,4,5,4,1,2,
8/25/2023 16:45:14,4,4,4,4,4,4,2,2,1,4,4,4,5,3,4,2,1,4,2,2,2,4,4,4,2,4,
8/25/2023 16:46:21,5,5,5,4,5,3,2,3,2,3,5,4,4,4,4,2,2,1,2,2,1,3,4,4,2,5,
8/26/2023 12:03:03,3,4,3,3,4,2,3,2,4,3,3,2,3,3,4,2,2,2,2,2,2,4,4,4,4,4,
8/28/2023 16:47:42,5,5,5,5,5,4,1,1,1,4,3,2,3,2,3,2,4,3,2,1,2,2,3,3,3,3,
