Timestamp,"Scientists are generally motivated by the desire for knowledge and discovery, and not by the possibility of personal gain.","Scientists make an attempt to consider all new evidence, hypotheses, theories, and innovations, even those that challenge or contradict their own work.",Scientists generally assess new knowledge and its applications based on the reputation and past productivity of the individual or research group.,Scientists openly share new findings with all colleagues.,"Scientists generally invest their careers in promoting their own most important findings, theories, or innovations.",Scientists compete with others in the same field for funding and recognition of their achievements.,"Scientists generally evaluate research only on its merit (i.e., according to accepted standards of the field).","Scientists emphasize the protection of their newest findings to ensure priority in publishing, patenting, or applications.","Scientists are generally motivated by the desire for knowledge and discovery, and not by the possibility of personal gain.","Scientists make an attempt to consider all new evidence, hypotheses, theories, and innovations, even those that challenge or contradict their own work.",Scientists generally assess new knowledge and its applications based on the reputation and past productivity of the individual or research group.,Scientists openly share new findings with all colleagues.,"Scientists generally invest their careers in promoting their own most important findings, theories, or innovations.",Scientists compete with others in the same field for funding and recognition of their achievements.,"Scientists generally evaluate research only on its merit (i.e., according to accepted standards of the field).","Scientists emphasize the protection of their newest findings to ensure priority in publishing, patenting, or applications.","If you wish to comment about the questions in this survey, you may do so here. You are not required to comment. However, if you want extra credit points for completing the survey, put a code phrase here and tell the TA what it is."
7/19/2023 9:52:22,4,5,2,5,4,3,4,2,3,3,4,2,5,5,2,5,test
7/19/2023 10:28:49,5,5,5,5,1,1,5,2,3,2,4,1,4,2,1,4,test
8/29/2023 10:45:00,5,4,3,5,4,3,3,4,3,3,4,3,4,5,4,3,""" LP123"""
8/30/2023 14:41:52,4,4,4,3,4,4,4,4,3,3,4,3,4,5,3,4,Do not fool yourself in science. 
8/30/2023 15:32:40,4,4,3,4,4,3,2,5,3,4,4,4,4,4,1,5,Yu
8/30/2023 15:32:49,2,4,4,3,3,4,2,4,2,4,4,3,3,4,2,4,Sherman
8/30/2023 15:58:37,3,4,3,5,3,4,4,3,3,4,4,5,4,4,4,4,Zin
8/30/2023 16:37:12,2,1,2,1,5,5,3,2,3,2,2,2,5,5,2,2,W3TM
8/30/2023 16:53:33,4,2,2,3,5,2,5,5,2,2,4,4,4,5,4,4,netflix
8/30/2023 16:59:41,5,5,4,5,3,2,4,3,2,4,4,4,4,5,4,3,fork
9/1/2023 12:35:22,3,3,3,4,2,3,4,4,3,4,3,4,3,3,4,4,
