Timestamp,"Scientists are generally motivated by the desire for knowledge and discovery, and not by the possibility of personal gain.","Scientists make an attempt to consider all new evidence, hypotheses, theories, and innovations, even those that challenge or contradict their own work.",Scientists generally assess new knowledge and its applications based on the reputation and past productivity of the individual or research group.,Scientists openly share new findings with all colleagues.,"Scientists generally invest their careers in promoting their own most important findings, theories, or innovations.",Scientists compete with others in the same field for funding and recognition of their achievements.,"Scientists generally evaluate research only on its merit (i.e., according to accepted standards of the field).","Scientists emphasize the protection of their newest findings to ensure priority in publishing, patenting, or applications.","Scientists are generally motivated by the desire for knowledge and discovery, and not by the possibility of personal gain.","Scientists make an attempt to consider all new evidence, hypotheses, theories, and innovations, even those that challenge or contradict their own work.",Scientists generally assess new knowledge and its applications based on the reputation and past productivity of the individual or research group.,Scientists openly share new findings with all colleagues.,"Scientists generally invest their careers in promoting their own most important findings, theories, or innovations.",Scientists compete with others in the same field for funding and recognition of their achievements.,"Scientists generally evaluate research only on its merit (i.e., according to accepted standards of the field).","Scientists emphasize the protection of their newest findings to ensure priority in publishing, patenting, or applications.","If you wish to comment about the questions in this survey, you may do so here. You are not required to comment. However, if you want extra credit points for completing the survey, put a code phrase here and tell the TA what it is."
7/30/2024 13:09:35,5,5,3,4,3,3,4,3,3,3,4,2,4,4,4,3,test
8/30/2024 19:17:04,4,3,4,4,4,3,3,3,4,4,4,4,4,3,3,3,2125
9/3/2024 12:12:04,5,5,4,4,3,2,2,3,3,2,3,3,4,4,2,3,hello kitty
9/4/2024 8:34:55,5,3,2,5,4,4,4,2,4,3,3,4,4,5,3,3,test
9/4/2024 12:47:08,5,5,4,5,3,3,3,3,3,4,4,4,4,4,4,4,Code phrase:  974223406 (my student ID number)
9/4/2024 14:34:22,4,3,4,3,4,5,4,4,4,4,4,3,4,4,4,4,hac5258
9/4/2024 14:34:55,3,4,4,3,4,4,3,4,4,4,4,3,4,4,4,3,dbm5872
9/4/2024 14:37:39,4,2,4,4,4,5,3,4,4,3,4,4,4,4,3,3,scientific research 1
9/4/2024 15:28:04,3,3,4,4,4,5,3,5,4,4,3,2,3,5,2,3,974077158 (my id)
9/4/2024 15:42:28,4,4,5,4,5,4,3,3,5,5,3,3,5,5,3,4,scientist
9/4/2024 17:03:43,4,4,3,4,4,3,3,3,4,4,3,4,4,3,3,4,SCIENCE
9/5/2024 17:57:34,2,3,4,4,4,2,4,3,3,2,3,2,4,4,2,3,"Emily Acosta PSYCH 490, Section 012"
